Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
15/01/2014;50105;49715;50230;49715;2,84M;0,0081
16/01/2014;49696;50106;50577;49628;2,94M;-0,0082
17/01/2014;49182;49696;49868;49174;2,62M;-0,0104
20/01/2014;48708;49181;49292;48673;1,41M;-0,0096
21/01/2014;48542;48728;49124;48440;3,10M;-0,0034
22/01/2014;49300;48543;49487;48543;3,87M;0,0156
23/01/2014;48321;49294;49598;48321;3,88M;-0,0199
24/01/2014;47787;48325;48327;47494;3,54M;-0,011
27/01/2014;47701;47782;48147;47493;2,94M;-0,0018
28/01/2014;47841;47750;48488;47750;2,69M;0,0029
29/01/2014;47557;47839;47884;47154;3,32M;-0,0059
30/01/2014;47244;47554;48034;47115;3,11M;-0,0066
31/01/2014;47639;47234;47652;46814;3,72M;0,0084
03/02/2014;46148;47623;47623;46109;3,62M;-0,0313
04/02/2014;46964;46148;47132;46146;3,47M;0,0177
05/02/2014;46624;46964;47148;46224;3,36M;-0,0072
06/02/2014;47738;46988;48034;46632;3,63M;0,0239
07/02/2014;48074;47739;48253;47557;3,20M;0,007
10/02/2014;47711;48070;48136;47465;2,63M;-0,0075
11/02/2014;48463;47715;48604;47589;3,38M;0,0158
12/02/2014;48217;48467;48669;48044;2,77M;-0,0051
13/02/2014;47813;48211;48211;47129;3,17M;-0,0084
14/02/2014;48201;47816;48314;47756;3,19M;0,0081
17/02/2014;47576;48200;48298;47540;1,88M;-0,013
18/02/2014;46600;47575;47712;46600;3,86M;-0,0205
19/02/2014;47151;46597;47155;46134;4,00M;0,0118
20/02/2014;47289;47127;47600;46634;3,00M;0,0029
21/02/2014;47380;47290;47816;47075;2,61M;0,0019
24/02/2014;47394;47376;47539;46991;2,99M;0,0003
25/02/2014;46716;47388;47388;46614;2,92M;-0,0143
26/02/2014;46599;46718;47010;46403;3,23M;-0,0025
27/02/2014;47607;46622;47781;46622;3,05M;0,0216
28/02/2014;47094;47613;47813;47043;4,09M;-0,0108
05/03/2014;46589;47092;47154;46473;2,29M;-0,0107
06/03/2014;47093;46592;47400;46502;3,16M;0,0108
07/03/2014;46244;47093;47218;46086;3,98M;-0,018
10/03/2014;45533;46242;46242;45203;3,67M;-0,0154
11/03/2014;45698;45533;46050;45401;3,28M;0,0036
12/03/2014;45862;45687;45916;45508;3,02M;0,0036
13/03/2014;45444;45864;46176;45250;3,12M;-0,0091
14/03/2014;44966;45444;45562;44905;3,48M;-0,0105
17/03/2014;45118;44979;45499;44969;2,93M;0,0034
18/03/2014;46151;45115;46217;45075;3,59M;0,0229
19/03/2014;46567;46153;46803;45910;3,34M;0,009
20/03/2014;47278;46565;47484;46151;4,36M;0,0153
21/03/2014;47381;47272;47832;46721;4,19M;0,0022
24/03/2014;47993;47382;48142;47382;3,01M;0,0129
25/03/2014;48180;47993;48441;47950;2,95M;0,0039
26/03/2014;47966;48182;48725;47963;3,44M;-0,0045
27/03/2014;49647;47965;49647;47962;5,93M;0,035
28/03/2014;49768;49653;50181;49606;4,23M;0,0024
31/03/2014;50415;49770;50418;49770;3,65M;0,013
01/04/2014;50270;50412;50627;49774;3,50M;-0,0029
02/04/2014;51701;50273;51794;50201;4,79M;0,0285
03/04/2014;51408;51712;51991;51059;3,50M;-0,0057
04/04/2014;51082;51428;52288;51034;3,70M;-0,0063
07/04/2014;52155;51115;52229;51115;3,67M;0,021
08/04/2014;51629;52173;53394;51377;5,50M;-0,0101
09/04/2014;51185;51629;51629;50653;4,20M;-0,0086
10/04/2014;51127;51185;51522;50732;3,59M;-0,0011
11/04/2014;51867;51127;51871;50518;3,40M;0,0145
14/04/2014;51597;51867;52110;51361;2,69M;-0,0052
15/04/2014;50454;51593;51593;49890;3,86M;-0,0221
16/04/2014;51201;50469;51288;50469;3,43M;0,0148
17/04/2014;52112;51201;52338;50887;3,02M;0,0178
22/04/2014;51977;52112;52460;51682;3,49M;-0,0026
23/04/2014;51570;51975;51975;51400;2,84M;-0,0078
24/04/2014;51817;51570;51963;51238;3,19M;0,0048
25/04/2014;51399;51817;51817;51019;2,95M;-0,0081
28/04/2014;51384;51397;51471;50777;2,71M;-0,0003
29/04/2014;51839;51386;52416;51386;4,33M;0,0089
30/04/2014;51627;51838;51838;51251;4,62M;-0,0041
02/05/2014;52980;51630;53060;51628;8,11M;0,0262
05/05/2014;53446;52989;53506;52931;4,44M;0,0088
06/05/2014;53780;53446;53986;53094;4,97M;0,0062
07/05/2014;54053;53786;54226;53499;4,57M;0,0051
08/05/2014;53422;54053;54249;53222;3,34M;-0,0117
09/05/2014;53100;53422;53639;53057;3,18M;-0,006
12/05/2014;54053;53103;54053;53103;2,74M;0,0179
13/05/2014;53907;54056;54243;53731;2,96M;-0,0027
14/05/2014;54413;53913;54459;53867;2,88M;0,0094
15/05/2014;53856;54404;54404;53565;3,44M;-0,0102
16/05/2014;53976;53856;54382;53709;3,54M;0,0022
19/05/2014;53353;53976;53991;53267;3,09M;-0,0115
20/05/2014;52366;53353;53843;52313;3,95M;-0,0185
21/05/2014;52203;52366;52875;52203;3,25M;-0,0031
22/05/2014;52806;52206;52851;52133;2,94M;0,0115
23/05/2014;52626;52807;52936;52403;2,46M;-0,0034
26/05/2014;52933;52650;53044;52650;1,19M;0,0058
27/05/2014;52174;52932;53309;52079;2,89M;-0,0143
28/05/2014;52640;52174;52858;52009;2,84M;0,0089
29/05/2014;52239;52649;52889;52031;2,39M;-0,0076
30/05/2014;51239;52233;52233;51239;4,53M;-0,0191
02/06/2014;51606;51239;51879;51239;2,60M;0,0072
03/06/2014;52032;51606;52032;51377;2,86M;0,0083
04/06/2014;51833;52032;52032;51609;2,57M;-0,0038
05/06/2014;51559;51833;52245;51470;2,89M;-0,0053
06/06/2014;53129;51562;53175;51562;4,30M;0,0304
09/06/2014;54273;53129;54462;53091;3,66M;0,0215
10/06/2014;54604;54273;54604;53960;3,73M;0,0061
11/06/2014;55102;54676;55284;54676;3,80M;0,0091
13/06/2014;54807;55102;55104;54649;2,66M;-0,0054
16/06/2014;54630;54807;54855;54475;2,64M;-0,0032
17/06/2014;54300;54630;54638;54150;1,59M;-0,006
18/06/2014;55203;54301;55203;54046;3,27M;0,0166
20/06/2014;54638;55192;55192;54540;2,35M;-0,0102
23/06/2014;54210;54637;54724;54097;1,40M;-0,0078
24/06/2014;54281;54194;55002;54094;3,12M;0,0013
25/06/2014;53426;54281;54393;53363;2,95M;-0,0158
26/06/2014;53507;53427;53790;53331;2,24M;0,0015
27/06/2014;53157;53507;53614;52919;2,37M;-0,0065
30/06/2014;53168;53158;53311;52709;2,45M;0,0002
01/07/2014;53171;53170;53698;52887;2,69M;0,0001
02/07/2014;53029;53171;53245;52735;3,16M;-0,0027
03/07/2014;53875;53029;53877;52760;3,30M;0,0159
04/07/2014;54056;53893;54087;53704;753,84K;0,0034
07/07/2014;53802;54042;54042;53376;2,19M;-0,0047
08/07/2014;53635;53814;53905;53459;1,85M;-0,0031
10/07/2014;54593;53643;54600;53643;4,72M;0,0179
11/07/2014;54786;54593;54952;54320;3,38M;0,0035
14/07/2014;55744;54786;55896;54786;4,17M;0,0175
15/07/2014;55974;55742;56107;55629;3,22M;0,0041
16/07/2014;55717;55973;56332;55573;4,09M;-0,0046
17/07/2014;55638;55712;56190;55237;3,98M;-0,0014
18/07/2014;57013;55639;57484;55639;5,30M;0,0247
21/07/2014;57634;57014;57756;56864;3,03M;0,0109
22/07/2014;57983;57636;58138;57500;3,01M;0,0061
23/07/2014;57420;57983;57983;57142;2,74M;-0,0097
24/07/2014;57978;57420;58122;57357;3,04M;0,0097
25/07/2014;57821;57978;58069;57648;2,42M;-0,0027
28/07/2014;57696;57823;58040;57415;2,37M;-0,0022
29/07/2014;57119;57697;58013;57083;2,70M;-0,01
30/07/2014;56878;57119;57439;56706;2,45M;-0,0042
31/07/2014;55829;56878;56878;55502;3,49M;-0,0184
01/08/2014;55903;55827;56059;55267;3,23M;0,0013
04/08/2014;56616;55906;56620;55586;2,20M;0,0128
05/08/2014;56202;56621;56937;56064;3,75M;-0,0073
06/08/2014;56487;56202;56797;55696;4,01M;0,0051
07/08/2014;56188;56487;56923;55985;3,05M;-0,0053
08/08/2014;55573;56187;56187;55319;3,02M;-0,0109
11/08/2014;56613;55578;56657;55578;2,67M;0,0187
12/08/2014;56442;56613;56811;56312;2,15M;-0,003
13/08/2014;55581;56454;56736;55239;4,81M;-0,0153
14/08/2014;55780;55558;55947;55437;3,05M;0,0036
15/08/2014;56964;55783;56965;55783;3,44M;0,0212
18/08/2014;57561;56968;57665;56968;3,27M;0,0105
19/08/2014;58449;57561;58475;57371;3,48M;0,0154
20/08/2014;58878;58450;59010;58320;3,30M;0,0073
21/08/2014;58992;58878;59207;58558;3,32M;0,0019
22/08/2014;58407;58992;58992;58164;2,33M;-0,0099
25/08/2014;59735;58408;59743;58408;2,88M;0,0227
26/08/2014;59821;59735;60093;59522;4,01M;0,0014
27/08/2014;60951;59822;61247;59822;5,39M;0,0189
28/08/2014;60291;60945;60980;60189;4,46M;-0,0108
29/08/2014;61288;60291;61443;60273;4,94M;0,0165
01/09/2014;61141;61294;62279;61141;2,77M;-0,0024
02/09/2014;61896;61142;62231;60930;4,00M;0,0123
03/09/2014;61837;61900;62305;61199;4,16M;-0,001
04/09/2014;60800;61836;61836;60739;4,01M;-0,0168
05/09/2014;60682;60800;61030;60244;3,81M;-0,0019
08/09/2014;59193;60708;61513;59191;4,39M;-0,0245
09/09/2014;58676;59158;59485;58306;4,46M;-0,0087
10/09/2014;58199;58675;58675;57450;3,81M;-0,0081
11/09/2014;58337;58202;58809;58112;2,89M;0,0024
12/09/2014;56928;58336;58336;56666;4,62M;-0,0242
15/09/2014;57949;56930;57949;56852;2,90M;0,0179
16/09/2014;59115;57949;60243;57946;4,88M;0,0201
17/09/2014;59108;59115;60025;59096;3,53M;-0,0001
18/09/2014;58374;59108;59267;58118;3,85M;-0,0124
19/09/2014;57789;58356;58516;57514;3,46M;-0,01
22/09/2014;56818;57788;57788;55974;3,81M;-0,0168
23/09/2014;56541;56818;57332;56086;3,32M;-0,0049
24/09/2014;56824;56539;57131;55934;2,85M;0,005
25/09/2014;55962;56822;56822;55876;2,85M;-0,0152
26/09/2014;57212;55965;57489;55946;2,98M;0,0223
29/09/2014;54625;57211;57211;54124;5,19M;-0,0452
30/09/2014;54116;54626;54626;53536;5,22M;-0,0093
01/10/2014;52858;54115;54115;52647;4,92M;-0,0232
02/10/2014;53519;52859;54022;52480;3,99M;0,0125
03/10/2014;54540;53519;54540;53368;3,71M;0,0191
06/10/2014;57116;54542;58897;54542;6,71M;0,0472
07/10/2014;57436;57124;58318;57124;4,87M;0,0056
08/10/2014;57058;57440;58191;56199;4,81M;-0,0066
09/10/2014;57268;57079;58246;57077;4,50M;0,0037
10/10/2014;55312;57266;57266;55312;3,64M;-0,0342
13/10/2014;57957;55313;58747;55313;4,54M;0,0478
14/10/2014;58015;57946;58856;57258;3,90M;0,001
15/10/2014;56135;58012;58012;54919;5,67M;-0,0324
16/10/2014;54298;56124;56124;54132;5,43M;-0,0327
17/10/2014;55724;54298;55949;54298;4,41M;0,0263
20/10/2014;54303;55720;55720;54300;3,87M;-0,0255
21/10/2014;52432;54300;54300;51922;6,58M;-0,0344
22/10/2014;52411;52427;53229;52064;3,76M;-0,0004
23/10/2014;50713;52409;52409;50654;6,35M;-0,0324
24/10/2014;51941;50687;53146;50596;5,85M;0,0242
27/10/2014;50504;51937;51937;48722;8,00M;-0,0277
28/10/2014;52330;50504;52374;50503;5,76M;0,0362
29/10/2014;51049;52330;52330;51049;4,92M;-0,0245
30/10/2014;52337;51049;52574;51049;4,30M;0,0252
31/10/2014;54629;52338;54629;52335;5,35M;0,0438
03/11/2014;53947;54629;54629;53054;3,67M;-0,0125
04/11/2014;54384;53947;54384;53432;3,53M;0,0081
05/11/2014;53698;54384;54384;53589;2,90M;-0,0126
06/11/2014;52637;53697;53697;52418;3,69M;-0,0198
07/11/2014;53223;52637;53483;52197;3,59M;0,0111
10/11/2014;52725;53223;53830;52716;2,97M;-0,0093
11/11/2014;52474;52718;52718;52003;2,68M;-0,0048
12/11/2014;52979;52473;53435;52187;3,20M;0,0096
13/11/2014;51846;52979;53323;51846;3,03M;-0,0214
14/11/2014;51772;51834;51900;50886;3,79M;-0,0014
17/11/2014;51257;51772;52223;51047;2,82M;-0,01
18/11/2014;52062;51257;52122;51067;3,64M;0,0157
19/11/2014;53403;52062;53403;52032;4,25M;0,0258
21/11/2014;56084;53403;56214;53403;6,03M;0,0502
24/11/2014;55407;56086;57359;55292;4,59M;-0,0121
25/11/2014;55561;55410;56387;55204;5,03M;0,0028
26/11/2014;55098;55561;56100;54977;3,03M;-0,0083
27/11/2014;54721;55100;56065;54593;2,29M;-0,0068
28/11/2014;54724;54731;55436;54664;2,64M;0
01/12/2014;52277;54719;54719;52156;4,31M;-0,0447
02/12/2014;51612;52278;52640;51471;3,30M;-0,0127
03/12/2014;52320;51611;52471;51611;2,72M;0,0137
04/12/2014;51427;52320;52539;51074;2,91M;-0,0171
05/12/2014;51993;51427;52024;51164;2,53M;0,011
08/12/2014;50274;51993;51993;50016;3,30M;-0,0331
09/12/2014;50193;50251;50260;49396;3,85M;-0,0016
10/12/2014;49548;50192;50192;49297;3,17M;-0,0129
11/12/2014;49862;49549;49946;48809;3,83M;0,0063
12/12/2014;48002;49861;49861;47973;3,76M;-0,0373
15/12/2014;47019;48002;48401;46410;4,69M;-0,0205
16/12/2014;47008;47016;47595;45853;5,34M;-0,0002
17/12/2014;48714;47008;49258;47008;6,21M;0,0363
18/12/2014;48496;48714;49565;48296;4,24M;-0,0045
19/12/2014;49651;48492;49658;48435;3,62M;0,0238
22/12/2014;50121;49651;50121;49105;2,68M;0,0095
23/12/2014;50890;50121;50890;49815;2,67M;0,0153
26/12/2014;50145;50891;50973;49914;1,91M;-0,0146
29/12/2014;50594;50145;50903;50008;1,85M;0,009
30/12/2014;50007;50601;50841;49993;2,93M;-0,0116
